CustomerID,CustomerSegment,Industry,Region,ProductCategory,DealSize,SalesRep,PreviousInteractions,LeadScore,CreatedDate,SalesCycleDays,ClosedDate,Win,ProfitMargin,Profit
486,Enterprise,Technology,North,Analytics,24719.0,Rep2,1,0.16,2024-01-02,44,2024-02-15,0,0.0,0.0
1365,MidMarket,Finance,North,CRM,26299.0,Rep1,0,0.28,2024-01-02,14,2024-01-16,0,0.0,0.0
586,SMB,Technology,West,Analytics,31612.0,Rep1,2,0.26,2024-01-02,31,2024-02-02,1,0.27,8535.24
1020,SMB,Manufacturing,North,Analytics,31369.0,Rep1,5,0.05,2024-01-03,27,2024-01-30,1,0.43,13488.67
796,Enterprise,Manufacturing,West,CRM,32840.0,Rep2,1,0.03,2024-01-03,46,2024-02-18,1,0.21,6896.4
44,Enterprise,Technology,East,CRM,29879.0,Rep1,4,0.57,2024-01-03,16,2024-01-19,1,0.22,6573.38
1769,SMB,Manufacturing,East,ERP,21372.0,Rep3,3,0.23,2024-01-03,43,2024-02-15,0,0.0,0.0
787,MidMarket,Manufacturing,West,Analytics,35076.0,Rep2,9,0.26,2024-01-03,21,2024-01-24,0,0.0,0.0
623,SMB,Finance,South,ERP,29569.0,Rep1,7,0.58,2024-01-03,48,2024-02-20,0,0.0,0.0
1289,SMB,Technology,West,CRM,30497.0,Rep4,1,0.15,2024-01-03,17,2024-01-20,0,0.0,0.0
701,MidMarket,Healthcare,South,ERP,19552.0,Rep4,2,0.33,2024-01-03,59,2024-03-02,1,0.29,5670.08
823,SMB,Technology,East,CRM,24372.0,Rep3,4,0.25,2024-01-03,42,2024-02-14,0,0.0,0.0
967,MidMarket,Retail,South,CRM,14646.0,Rep2,3,0.32,2024-01-03,42,2024-02-14,0,0.0,0.0
554,MidMarket,Manufacturing,South,Analytics,41498.0,Rep2,4,0.29,2024-01-04,20,2024-01-24,0,0.0,0.0
1196,Enterprise,Finance,North,CRM,23692.0,Rep4,1,0.41,2024-01-04,17,2024-01-21,0,0.0,0.0
746,Enterprise,Technology,South,CRM,31900.0,Rep2,3,0.48,2024-01-04,35,2024-02-08,0,0.0,0.0
373,SMB,Technology,West,Analytics,30938.0,Rep2,4,0.14,2024-01-04,44,2024-02-17,0,0.0,0.0
943,MidMarket,Retail,East,Analytics,32287.0,Rep4,5,0.18,2024-01-04,43,2024-02-16,0,0.0,0.0
481,MidMarket,Technology,East,Analytics,26481.0,Rep1,4,0.38,2024-01-04,23,2024-01-27,0,0.0,0.0
248,Enterprise,Finance,South,Analytics,23574.0,Rep3,2,0.66,2024-01-04,30,2024-02-03,0,0.0,0.0
1693,SMB,Retail,East,ERP,17202.0,Rep4,3,0.74,2024-01-04,34,2024-02-07,0,0.0,0.0
1883,MidMarket,Manufacturing,South,ERP,26831.0,Rep1,3,0.21,2024-01-04,57,2024-03-01,0,0.0,0.0
1175,MidMarket,Technology,North,Analytics,22898.0,Rep2,10,0.49,2024-01-04,39,2024-02-12,1,0.4,9159.2
463,MidMarket,Manufacturing,North,Analytics,16987.0,Rep3,3,0.52,2024-01-04,18,2024-01-22,0,0.0,0.0
1851,SMB,Finance,East,Analytics,32450.0,Rep2,6,0.61,2024-01-05,51,2024-02-25,0,0.0,0.0
850,MidMarket,Healthcare,South,CRM,33880.0,Rep4,5,0.39,2024-01-05,29,2024-02-03,0,0.0,0.0
465,Enterprise,Manufacturing,South,CRM,16492.0,Rep4,5,0.07,2024-01-05,58,2024-03-03,1,0.22,3628.24
1400,MidMarket,Technology,East,ERP,41803.0,Rep1,4,0.15,2024-01-05,28,2024-02-02,1,0.22,9196.66
1375,SMB,Technology,West,ERP,26346.0,Rep4,2,0.26,2024-01-05,37,2024-02-11,0,0.0,0.0
455,SMB,Healthcare,South,CRM,15706.0,Rep2,1,0.19,2024-01-05,21,2024-01-26,1,0.24,3769.44
1862,MidMarket,Finance,North,Analytics,31501.0,Rep3,3,0.25,2024-01-05,18,2024-01-23,0,0.0,0.0
1234,SMB,Manufacturing,West,CRM,25820.0,Rep2,4,0.34,2024-01-05,44,2024-02-18,0,0.0,0.0
1177,MidMarket,Technology,North,ERP,32443.0,Rep4,3,0.19,2024-01-05,25,2024-01-30,1,0.25,8110.75
1965,MidMarket,Finance,North,Analytics,20941.0,Rep2,4,0.33,2024-01-05,42,2024-02-16,0,0.0,0.0
1543,MidMarket,Manufacturing,North,Analytics,31377.0,Rep4,1,0.04,2024-01-06,21,2024-01-27,0,0.0,0.0
518,Enterprise,Technology,West,Analytics,32635.0,Rep4,2,0.56,2024-01-06,10,2024-01-16,1,0.32,10443.2
815,Enterprise,Technology,West,CRM,15668.0,Rep2,5,0.05,2024-01-06,56,2024-03-02,0,0.0,0.0
1690,MidMarket,Manufacturing,North,ERP,31655.0,Rep4,3,0.26,2024-01-06,40,2024-02-15,0,0.0,0.0
302,MidMarket,Finance,South,ERP,15349.0,Rep4,3,0.48,2024-01-06,20,2024-01-26,1,0.27,4144.23
1901,MidMarket,Healthcare,North,CRM,16769.0,Rep1,1,0.27,2024-01-06,30,2024-02-05,1,0.33,5533.77
1539,SMB,Finance,North,Analytics,16028.0,Rep4,3,0.18,2024-01-06,13,2024-01-19,0,0.0,0.0
197,MidMarket,Manufacturing,North,Analytics,41163.0,Rep4,2,0.3,2024-01-06,38,2024-02-13,0,0.0,0.0
1360,MidMarket,Healthcare,South,ERP,23205.0,Rep3,1,0.42,2024-01-06,26,2024-02-01,0,0.0,0.0
428,Enterprise,Technology,East,Analytics,22284.0,Rep1,1,0.3,2024-01-06,54,2024-02-29,0,0.0,0.0
250,Enterprise,Manufacturing,East,Analytics,24360.0,Rep3,1,0.34,2024-01-06,47,2024-02-22,0,0.0,0.0
1878,MidMarket,Technology,South,CRM,30297.0,Rep2,1,0.24,2024-01-06,32,2024-02-07,0,0.0,0.0
651,SMB,Retail,East,Analytics,25625.0,Rep4,2,0.35,2024-01-06,44,2024-02-19,0,0.0,0.0
631,MidMarket,Technology,North,ERP,12567.0,Rep2,5,0.41,2024-01-06,15,2024-01-21,0,0.0,0.0
342,SMB,Technology,North,ERP,32311.0,Rep3,0,0.29,2024-01-06,20,2024-01-26,0,0.0,0.0
1425,Enterprise,Healthcare,North,Analytics,11414.0,Rep4,4,0.19,2024-01-07,35,2024-02-11,1,0.4,4565.6
953,SMB,Manufacturing,South,Analytics,17909.0,Rep1,9,0.43,2024-01-07,23,2024-01-30,1,0.31,5551.79
1377,SMB,Manufacturing,West,CRM,29079.0,Rep4,4,0.12,2024-01-07,56,2024-03-03,0,0.0,0.0
524,Enterprise,Manufacturing,East,ERP,25556.0,Rep4,3,0.14,2024-01-07,37,2024-02-13,0,0.0,0.0
93,MidMarket,Healthcare,East,ERP,28496.0,Rep3,5,0.14,2024-01-07,14,2024-01-21,1,0.21,5984.16
1150,Enterprise,Manufacturing,North,Analytics,40450.0,Rep4,5,0.04,2024-01-07,26,2024-02-02,0,0.0,0.0
122,Enterprise,Technology,South,Analytics,35545.0,Rep1,5,0.51,2024-01-07,25,2024-02-01,0,0.0,0.0
1225,SMB,Retail,South,ERP,17699.0,Rep3,4,0.31,2024-01-07,44,2024-02-20,0,0.0,0.0
833,SMB,Finance,West,Analytics,23446.0,Rep1,3,0.58,2024-01-07,33,2024-02-09,0,0.0,0.0
282,SMB,Retail,North,ERP,35424.0,Rep3,2,0.27,2024-01-07,50,2024-02-26,0,0.0,0.0
476,Enterprise,Manufacturing,South,Analytics,11093.0,Rep1,3,0.18,2024-01-07,54,2024-03-01,0,0.0,0.0
1929,MidMarket,Technology,East,CRM,32216.0,Rep1,6,0.1,2024-01-07,52,2024-02-28,0,0.0,0.0
570,SMB,Healthcare,West,CRM,30138.0,Rep2,3,0.29,2024-01-08,16,2024-01-24,1,0.34,10246.92
1115,MidMarket,Healthcare,West,Analytics,29599.0,Rep4,3,0.42,2024-01-08,54,2024-03-02,0,0.0,0.0
1034,SMB,Healthcare,West,CRM,36929.0,Rep4,4,0.39,2024-01-08,27,2024-02-04,0,0.0,0.0
1680,MidMarket,Finance,East,ERP,20881.0,Rep4,3,0.35,2024-01-08,32,2024-02-09,0,0.0,0.0
1374,SMB,Healthcare,North,Analytics,23592.0,Rep2,2,0.23,2024-01-08,50,2024-02-27,0,0.0,0.0
1544,SMB,Retail,West,ERP,27696.0,Rep3,4,0.08,2024-01-08,57,2024-03-05,0,0.0,0.0
758,MidMarket,Technology,East,ERP,26844.0,Rep4,4,0.05,2024-01-08,51,2024-02-28,0,0.0,0.0
1553,Enterprise,Healthcare,East,CRM,35971.0,Rep2,3,0.34,2024-01-08,30,2024-02-07,0,0.0,0.0
1845,Enterprise,Finance,West,Analytics,17795.0,Rep1,4,0.26,2024-01-08,27,2024-02-04,0,0.0,0.0
487,SMB,Retail,East,Analytics,30054.0,Rep3,1,0.27,2024-01-08,57,2024-03-05,0,0.0,0.0
1702,SMB,Manufacturing,West,Analytics,34157.0,Rep4,3,0.36,2024-01-08,15,2024-01-23,1,0.4,13662.8
848,Enterprise,Technology,North,Analytics,27322.0,Rep4,3,0.69,2024-01-08,50,2024-02-27,0,0.0,0.0
299,MidMarket,Technology,West,CRM,25381.0,Rep2,3,0.48,2024-01-08,43,2024-02-20,0,0.0,0.0
1923,MidMarket,Finance,North,ERP,26986.0,Rep1,6,0.25,2024-01-08,47,2024-02-24,1,0.25,6746.5
1781,SMB,Retail,East,Analytics,27529.0,Rep1,4,0.27,2024-01-09,50,2024-02-28,0,0.0,0.0
790,Enterprise,Technology,West,CRM,38047.0,Rep3,4,0.16,2024-01-09,53,2024-03-02,0,0.0,0.0
135,Enterprise,Healthcare,East,ERP,30877.0,Rep3,3,0.47,2024-01-09,13,2024-01-22,0,0.0,0.0
1509,MidMarket,Retail,South,CRM,39342.0,Rep4,1,0.28,2024-01-09,26,2024-02-04,0,0.0,0.0
427,SMB,Technology,East,Analytics,21796.0,Rep3,5,0.17,2024-01-09,23,2024-02-01,0,0.0,0.0
1161,Enterprise,Manufacturing,South,CRM,29429.0,Rep2,2,0.51,2024-01-09,41,2024-02-19,0,0.0,0.0
1870,MidMarket,Manufacturing,West,CRM,27408.0,Rep2,3,0.08,2024-01-09,37,2024-02-15,1,0.35,9592.8
663,MidMarket,Manufacturing,East,ERP,23838.0,Rep4,7,0.1,2024-01-09,54,2024-03-03,0,0.0,0.0
814,Enterprise,Manufacturing,South,CRM,33269.0,Rep3,1,0.33,2024-01-09,13,2024-01-22,0,0.0,0.0
1677,SMB,Technology,South,ERP,26210.0,Rep4,5,0.3,2024-01-09,31,2024-02-09,0,0.0,0.0
1410,Enterprise,Finance,West,ERP,26789.0,Rep3,4,0.4,2024-01-10,48,2024-02-27,0,0.0,0.0
53,Enterprise,Retail,North,Analytics,25216.0,Rep1,4,0.5,2024-01-10,33,2024-02-12,0,0.0,0.0
1956,Enterprise,Manufacturing,North,ERP,21397.0,Rep3,6,0.31,2024-01-10,29,2024-02-08,0,0.0,0.0
666,SMB,Healthcare,East,Analytics,20579.0,Rep1,5,0.42,2024-01-10,44,2024-02-23,0,0.0,0.0
513,Enterprise,Retail,North,CRM,9982.0,Rep2,4,0.43,2024-01-10,47,2024-02-26,0,0.0,0.0
1352,MidMarket,Healthcare,South,Analytics,16929.0,Rep2,7,0.07,2024-01-10,52,2024-03-02,0,0.0,0.0
1104,Enterprise,Retail,North,Analytics,15702.0,Rep1,4,0.21,2024-01-10,54,2024-03-04,0,0.0,0.0
795,SMB,Finance,East,Analytics,27816.0,Rep2,5,0.23,2024-01-10,21,2024-01-31,0,0.0,0.0
998,SMB,Finance,North,Analytics,15923.0,Rep1,3,0.46,2024-01-10,27,2024-02-06,0,0.0,0.0
741,SMB,Technology,East,Analytics,15267.0,Rep4,2,0.12,2024-01-10,59,2024-03-09,0,0.0,0.0
1839,Enterprise,Healthcare,North,Analytics,36172.0,Rep3,3,0.25,2024-01-11,36,2024-02-16,0,0.0,0.0
783,SMB,Technology,North,CRM,24507.0,Rep1,3,0.28,2024-01-11,16,2024-01-27,1,0.28,6861.96
161,SMB,Manufacturing,West,Analytics,17175.0,Rep4,2,0.57,2024-01-11,13,2024-01-24,1,0.36,6183.0
576,Enterprise,Finance,South,Analytics,22984.0,Rep2,1,0.53,2024-01-11,17,2024-01-28,1,0.32,7354.88
1630,SMB,Retail,East,Analytics,24009.0,Rep1,2,0.5,2024-01-11,25,2024-02-05,0,0.0,0.0
884,SMB,Retail,South,Analytics,19573.0,Rep4,3,0.4,2024-01-11,19,2024-01-30,0,0.0,0.0
1061,Enterprise,Manufacturing,East,Analytics,14848.0,Rep1,4,0.08,2024-01-11,26,2024-02-06,0,0.0,0.0
87,MidMarket,Finance,West,ERP,17936.0,Rep4,6,0.38,2024-01-12,54,2024-03-06,1,0.27,4842.72
1035,SMB,Retail,North,CRM,28143.0,Rep2,2,0.53,2024-01-12,39,2024-02-20,1,0.24,6754.32
1519,SMB,Technology,East,ERP,8741.0,Rep3,2,0.3,2024-01-12,35,2024-02-16,1,0.19,1660.79
1113,SMB,Technology,East,Analytics,13069.0,Rep4,6,0.11,2024-01-12,19,2024-01-31,1,0.32,4182.08
724,MidMarket,Manufacturing,East,CRM,19645.0,Rep1,3,0.72,2024-01-12,37,2024-02-18,0,0.0,0.0
1654,SMB,Technology,North,CRM,33588.0,Rep2,4,0.28,2024-01-12,30,2024-02-11,1,0.21,7053.48
1297,SMB,Technology,West,Analytics,26358.0,Rep4,6,0.12,2024-01-12,29,2024-02-10,1,0.36,9488.88
279,MidMarket,Retail,East,ERP,20424.0,Rep1,2,0.44,2024-01-12,52,2024-03-04,1,0.16,3267.84
504,Enterprise,Manufacturing,West,Analytics,30574.0,Rep1,2,0.67,2024-01-13,51,2024-03-04,1,0.42,12841.08
1376,Enterprise,Finance,North,Analytics,32584.0,Rep1,4,0.11,2024-01-13,35,2024-02-17,0,0.0,0.0
840,MidMarket,Healthcare,North,ERP,39352.0,Rep2,3,0.07,2024-01-13,32,2024-02-14,0,0.0,0.0
48,MidMarket,Retail,East,CRM,14699.0,Rep4,4,0.25,2024-01-13,30,2024-02-12,0,0.0,0.0
1260,MidMarket,Retail,South,CRM,31649.0,Rep1,7,0.12,2024-01-13,56,2024-03-09,0,0.0,0.0
1565,Enterprise,Technology,South,CRM,25226.0,Rep1,4,0.24,2024-01-13,39,2024-02-21,0,0.0,0.0
1746,SMB,Healthcare,West,Analytics,28003.0,Rep2,5,0.35,2024-01-13,37,2024-02-19,0,0.0,0.0
876,SMB,Healthcare,North,CRM,15536.0,Rep4,3,0.21,2024-01-13,34,2024-02-16,0,0.0,0.0
1648,Enterprise,Healthcare,East,Analytics,25555.0,Rep4,7,0.18,2024-01-14,13,2024-01-27,0,0.0,0.0
1857,MidMarket,Manufacturing,North,ERP,35806.0,Rep4,0,0.23,2024-01-14,33,2024-02-16,0,0.0,0.0
81,Enterprise,Finance,West,Analytics,30340.0,Rep2,3,0.21,2024-01-14,39,2024-02-22,0,0.0,0.0
1164,MidMarket,Manufacturing,North,CRM,34965.0,Rep2,3,0.27,2024-01-14,41,2024-02-24,0,0.0,0.0
1762,Enterprise,Technology,North,ERP,27569.0,Rep4,3,0.06,2024-01-14,24,2024-02-07,0,0.0,0.0
928,MidMarket,Finance,South,Analytics,25116.0,Rep4,1,0.49,2024-01-14,27,2024-02-10,0,0.0,0.0
664,SMB,Finance,East,CRM,32771.0,Rep3,5,0.33,2024-01-14,29,2024-02-12,0,0.0,0.0
1545,Enterprise,Healthcare,East,ERP,12011.0,Rep4,6,0.05,2024-01-14,55,2024-03-09,0,0.0,0.0
1681,SMB,Healthcare,North,Analytics,19150.0,Rep4,0,0.61,2024-01-14,37,2024-02-20,0,0.0,0.0
1497,MidMarket,Manufacturing,South,ERP,40753.0,Rep3,2,0.49,2024-01-15,20,2024-02-04,0,0.0,0.0
907,Enterprise,Technology,South,Analytics,35053.0,Rep1,3,0.57,2024-01-15,20,2024-02-04,0,0.0,0.0
71,MidMarket,Finance,North,CRM,22132.0,Rep3,3,0.47,2024-01-15,24,2024-02-08,0,0.0,0.0
782,MidMarket,Technology,North,Analytics,18636.0,Rep3,3,0.45,2024-01-15,18,2024-02-02,0,0.0,0.0
626,SMB,Healthcare,South,CRM,19895.0,Rep4,1,0.37,2024-01-15,37,2024-02-21,1,0.31,6167.45
479,Enterprise,Finance,West,Analytics,35787.0,Rep4,9,0.34,2024-01-15,19,2024-02-03,0,0.0,0.0
1535,SMB,Technology,South,CRM,27566.0,Rep3,3,0.25,2024-01-16,32,2024-02-17,0,0.0,0.0
1787,MidMarket,Manufacturing,West,Analytics,19125.0,Rep2,0,0.31,2024-01-16,26,2024-02-11,1,0.36,6885.0
1707,MidMarket,Technology,East,Analytics,20827.0,Rep1,2,0.2,2024-01-16,14,2024-01-30,0,0.0,0.0
921,Enterprise,Healthcare,West,CRM,18736.0,Rep2,2,0.19,2024-01-16,15,2024-01-31,0,0.0,0.0
1000,SMB,Technology,South,CRM,27572.0,Rep1,3,0.24,2024-01-16,41,2024-02-26,0,0.0,0.0
610,MidMarket,Healthcare,North,CRM,14372.0,Rep1,3,0.41,2024-01-16,18,2024-02-03,0,0.0,0.0
1132,SMB,Technology,West,Analytics,30552.0,Rep2,5,0.24,2024-01-16,12,2024-01-28,1,0.31,9471.12
1259,SMB,Healthcare,North,CRM,15972.0,Rep1,5,0.38,2024-01-16,56,2024-03-12,0,0.0,0.0
60,SMB,Finance,North,ERP,23939.0,Rep4,3,0.42,2024-01-16,44,2024-02-29,0,0.0,0.0
1136,SMB,Healthcare,East,ERP,29243.0,Rep1,3,0.16,2024-01-16,19,2024-02-04,1,0.21,6141.03
1395,SMB,Retail,West,CRM,25312.0,Rep2,0,0.08,2024-01-16,53,2024-03-09,0,0.0,0.0
140,Enterprise,Retail,East,Analytics,15317.0,Rep3,1,0.19,2024-01-16,15,2024-01-31,0,0.0,0.0
827,SMB,Healthcare,North,CRM,35994.0,Rep3,6,0.42,2024-01-17,12,2024-01-29,0,0.0,0.0
577,SMB,Retail,West,Analytics,31048.0,Rep4,1,0.17,2024-01-17,36,2024-02-22,1,0.44,13661.12
934,MidMarket,Technology,North,ERP,6423.0,Rep2,5,0.22,2024-01-17,53,2024-03-10,1,0.19,1220.37
648,MidMarket,Technology,West,CRM,26761.0,Rep4,5,0.19,2024-01-17,59,2024-03-16,1,0.31,8295.91
1603,SMB,Retail,West,ERP,18508.0,Rep4,3,0.48,2024-01-17,52,2024-03-09,0,0.0,0.0
406,Enterprise,Manufacturing,West,ERP,22368.0,Rep3,6,0.22,2024-01-17,33,2024-02-19,0,0.0,0.0
1239,Enterprise,Manufacturing,East,ERP,38564.0,Rep1,4,0.16,2024-01-17,16,2024-02-02,0,0.0,0.0
1819,MidMarket,Healthcare,West,Analytics,27542.0,Rep3,5,0.47,2024-01-17,46,2024-03-03,1,0.38,10465.96
756,MidMarket,Healthcare,North,Analytics,17569.0,Rep1,4,0.21,2024-01-17,59,2024-03-16,0,0.0,0.0
1056,SMB,Healthcare,West,CRM,22547.0,Rep3,3,0.01,2024-01-17,36,2024-02-22,0,0.0,0.0
149,SMB,Healthcare,North,CRM,24476.0,Rep1,9,0.23,2024-01-17,14,2024-01-31,0,0.0,0.0
218,MidMarket,Healthcare,North,CRM,20241.0,Rep3,1,0.27,2024-01-17,17,2024-02-03,0,0.0,0.0
725,MidMarket,Manufacturing,North,Analytics,26176.0,Rep1,6,0.21,2024-01-17,11,2024-01-28,1,0.3,7852.8
1366,SMB,Healthcare,East,ERP,16541.0,Rep1,6,0.38,2024-01-18,22,2024-02-09,0,0.0,0.0
923,Enterprise,Healthcare,East,ERP,16232.0,Rep2,4,0.31,2024-01-18,12,2024-01-30,0,0.0,0.0
276,MidMarket,Manufacturing,West,CRM,22702.0,Rep2,2,0.2,2024-01-18,15,2024-02-02,0,0.0,0.0
1863,SMB,Healthcare,West,ERP,27489.0,Rep2,3,0.58,2024-01-18,24,2024-02-11,0,0.0,0.0
1329,MidMarket,Finance,West,ERP,28119.0,Rep1,3,0.5,2024-01-18,27,2024-02-14,0,0.0,0.0
440,SMB,Healthcare,East,Analytics,24007.0,Rep4,2,0.34,2024-01-18,21,2024-02-08,0,0.0,0.0
1708,SMB,Retail,East,Analytics,22078.0,Rep3,0,0.6,2024-01-18,32,2024-02-19,0,0.0,0.0
1026,SMB,Healthcare,East,CRM,22994.0,Rep3,3,0.3,2024-01-18,56,2024-03-14,0,0.0,0.0
1073,SMB,Healthcare,South,Analytics,9096.0,Rep4,4,0.47,2024-01-18,48,2024-03-06,1,0.35,3183.6
550,MidMarket,Finance,North,CRM,26621.0,Rep4,3,0.29,2024-01-18,25,2024-02-12,0,0.0,0.0
655,SMB,Retail,West,Analytics,23674.0,Rep2,3,0.37,2024-01-18,26,2024-02-13,0,0.0,0.0
176,SMB,Technology,South,Analytics,25826.0,Rep1,6,0.23,2024-01-18,13,2024-01-31,0,0.0,0.0
1405,MidMarket,Retail,North,Analytics,36660.0,Rep4,7,0.48,2024-01-18,40,2024-02-27,0,0.0,0.0
1141,Enterprise,Finance,East,ERP,15883.0,Rep2,4,0.34,2024-01-18,36,2024-02-23,0,0.0,0.0
1338,MidMarket,Retail,East,CRM,20636.0,Rep2,6,0.18,2024-01-18,42,2024-02-29,0,0.0,0.0
1916,MidMarket,Technology,North,ERP,29009.0,Rep1,4,0.11,2024-01-18,57,2024-03-15,0,0.0,0.0
1775,MidMarket,Healthcare,South,CRM,20265.0,Rep3,3,0.62,2024-01-19,16,2024-02-04,0,0.0,0.0
797,Enterprise,Retail,North,ERP,31140.0,Rep4,6,0.2,2024-01-19,29,2024-02-17,0,0.0,0.0
491,SMB,Retail,West,CRM,23231.0,Rep4,3,0.49,2024-01-19,49,2024-03-08,1,0.27,6272.37
206,SMB,Retail,East,Analytics,31872.0,Rep3,1,0.17,2024-01-19,16,2024-02-04,0,0.0,0.0
55,MidMarket,Retail,North,Analytics,11380.0,Rep1,3,0.09,2024-01-19,25,2024-02-13,1,0.32,3641.6
1351,Enterprise,Finance,South,Analytics,29585.0,Rep2,6,0.35,2024-01-19,23,2024-02-11,0,0.0,0.0
1099,MidMarket,Technology,South,ERP,31959.0,Rep2,4,0.47,2024-01-19,18,2024-02-06,0,0.0,0.0
1325,Enterprise,Manufacturing,South,ERP,24212.0,Rep2,4,0.58,2024-01-19,42,2024-03-01,0,0.0,0.0
1280,SMB,Healthcare,South,ERP,34222.0,Rep2,3,0.15,2024-01-19,46,2024-03-05,0,0.0,0.0
1647,SMB,Healthcare,West,Analytics,29275.0,Rep3,1,0.22,2024-01-19,27,2024-02-15,0,0.0,0.0
1266,SMB,Manufacturing,East,ERP,24940.0,Rep3,1,0.1,2024-01-19,21,2024-02-09,0,0.0,0.0
1889,MidMarket,Finance,North,CRM,32568.0,Rep4,4,0.85,2024-01-19,16,2024-02-04,0,0.0,0.0
1333,SMB,Manufacturing,South,Analytics,21199.0,Rep4,6,0.42,2024-01-20,56,2024-03-16,0,0.0,0.0
281,Enterprise,Technology,North,ERP,29621.0,Rep2,6,0.28,2024-01-20,25,2024-02-14,0,0.0,0.0
972,Enterprise,Manufacturing,South,Analytics,45780.0,Rep1,3,0.39,2024-01-20,54,2024-03-14,1,0.27,12360.6
736,Enterprise,Retail,East,ERP,16995.0,Rep2,5,0.22,2024-01-20,58,2024-03-18,0,0.0,0.0
125,SMB,Retail,East,CRM,30079.0,Rep1,6,0.18,2024-01-20,27,2024-02-16,0,0.0,0.0
1317,MidMarket,Manufacturing,North,CRM,19219.0,Rep4,4,0.36,2024-01-20,14,2024-02-03,0,0.0,0.0
909,SMB,Technology,South,ERP,22529.0,Rep4,6,0.21,2024-01-20,36,2024-02-25,0,0.0,0.0
1678,SMB,Technology,South,ERP,20195.0,Rep1,3,0.15,2024-01-20,43,2024-03-03,0,0.0,0.0
685,Enterprise,Manufacturing,North,Analytics,25339.0,Rep1,3,0.07,2024-01-20,44,2024-03-04,0,0.0,0.0
442,Enterprise,Manufacturing,West,CRM,32760.0,Rep4,4,0.08,2024-01-20,56,2024-03-16,0,0.0,0.0
665,SMB,Manufacturing,North,CRM,28271.0,Rep2,4,0.24,2024-01-20,26,2024-02-15,0,0.0,0.0
1540,MidMarket,Retail,East,ERP,25303.0,Rep3,2,0.52,2024-01-20,30,2024-02-19,0,0.0,0.0
49,MidMarket,Finance,West,ERP,28051.0,Rep4,2,0.16,2024-01-20,44,2024-03-04,0,0.0,0.0
1903,MidMarket,Manufacturing,South,Analytics,9054.0,Rep2,3,0.5,2024-01-20,28,2024-02-17,0,0.0,0.0
878,MidMarket,Healthcare,South,ERP,14443.0,Rep3,2,0.08,2024-01-21,26,2024-02-16,0,0.0,0.0
1673,Enterprise,Healthcare,West,ERP,38121.0,Rep1,3,0.19,2024-01-21,10,2024-01-31,1,0.25,9530.25
287,SMB,Healthcare,West,CRM,19162.0,Rep2,4,0.64,2024-01-21,47,2024-03-08,0,0.0,0.0
226,SMB,Finance,East,ERP,31353.0,Rep1,6,0.29,2024-01-21,42,2024-03-03,0,0.0,0.0
1002,MidMarket,Retail,South,CRM,32469.0,Rep1,4,0.22,2024-01-21,19,2024-02-09,1,0.22,7143.18
687,MidMarket,Manufacturing,West,CRM,32340.0,Rep2,6,0.54,2024-01-21,18,2024-02-08,1,0.24,7761.6
278,MidMarket,Retail,West,ERP,28526.0,Rep4,4,0.01,2024-01-21,35,2024-02-25,0,0.0,0.0
